Name,Team,Number,Position,Age,Height,Weight,College,Salary
Isaiah Thomas,Boston Celtics,4,PG,27,5-9,185,Washington,6912869
Shane Larkin,Brooklyn Nets,0,PG,23,5-11,175,Miami (FL),1500000
Phil Pressey,Phoenix Suns,25,PG,25,5-11,175,Missouri,55722
Ty Lawson,Indiana Pacers,10,PG,28,5-11,195,North Carolina,211744
Isaiah Canaan,Philadelphia 76ers,0,PG,25,6-1,201,Murray State,947276
Ish Smith,Philadelphia 76ers,1,PG,27,6-1,175,Wake Forest,947276
Kyle Lowry,Toronto Raptors,7,PG,30,6-1,205,Villanova,12000000
Chris Paul,Los Angeles Clippers,3,PG,31,6-1,175,Wake Forest,21468695
Louis Williams,Los Angeles Lakers,23,SG,29,6-1,175,,7000000
Eric Bledsoe,Phoenix Suns,2,PG,26,6-1,190,Kentucky,13500000
Darren Collison,Sacramento Kings,7,PG,28,6-1,175,UCLA,5013559
Rajon Rondo,Sacramento Kings,9,PG,30,6-1,186,Kentucky,9500000
Aaron Brooks,Chicago Bulls,0,PG,31,6-1,161,Oregon,2250000
Mo Williams,Cleveland Cavaliers,52,PG,33,6-1,198,Alabama,2100000
J.J. Barea,Dallas Mavericks,5,PG,31,6-1,185,Northeastern,4290000
Raymond Felton,Dallas Mavericks,2,PG,31,6-1,205,North Carolina,3950313
Patrick Beverley,Houston Rockets,2,PG,27,6-1,185,Arkansas,6486486
Mike Conley,Memphis Grizzlies,11,PG,28,6-1,175,Ohio State,9588426
Bryce Cotton,Memphis Grizzlies,8,PG,23,6-1,165,Providence,700902
Tim Frazier,New Orleans Pelicans,2,PG,25,6-1,170,Penn State,845059
Patty Mills,San Antonio Spurs,8,PG,27,6-1,185,Saint Mary's,3578947
Dennis Schroder,Atlanta Hawks,17,PG,22,6-1,172,,1763400
Kemba Walker,Charlotte Hornets,15,PG,26,6-1,184,Connecticut,12000000
Brandon Jennings,Orlando Magic,55,PG,26,6-1,169,,8344497
Shabazz Napier,Orlando Magic,13,PG,24,6-1,175,Connecticut,1294440
D.J. Augustin,Denver Nuggets,12,PG,28,6-1,183,Texas,3000000
Jameer Nelson,Denver Nuggets,1,PG,34,6-1,190,Saint Joseph's,4345000
Brian Roberts,Portland Trail Blazers,2,PG,30,6-1,173,Dayton,2854940
Trey Burke,Utah Jazz,3,PG,23,6-1,191,Michigan,2658240
Raul Neto,Utah Jazz,25,PG,24,6-1,179,,900000
Avery Bradley,Boston Celtics,0,PG,25,6-2,180,Texas,7730337
Terry Rozier,Boston Celtics,12,PG,22,6-2,190,Louisville,1824360
Langston Galloway,New York Knicks,2,SG,24,6-2,200,Saint Joseph's,845059
T.J. McConnell,Philadelphia 76ers,12,PG,24,6-2,200,Arizona,525093
Ronnie Price,Phoenix Suns,14,PG,32,6-2,190,Utah Valley,947276
Seth Curry,Sacramento Kings,30,SG,25,6-2,185,Duke,947276
Joe Young,Indiana Pacers,1,PG,23,6-2,180,Oregon,1007026
Jason Terry,Houston Rockets,31,SG,38,6-2,185,Arizona,947276
Jordan Farmar,Memphis Grizzlies,4,PG,29,6-2,180,UCLA,
Norris Cole,New Orleans Pelicans,30,PG,27,6-2,175,Cleveland State,3036927
Toney Douglas,New Orleans Pelicans,16,PG,30,6-2,195,Florida State,1164858
Tony Parker,San Antonio Spurs,9,PG,34,6-2,185,,13437500
Jeff Teague,Atlanta Hawks,0,PG,27,6-2,186,Wake Forest,8000000
Briante Weber,Miami Heat,12,PG,23,6-2,165,Virginia Commonwealth,
C.J. Watson,Orlando Magic,32,PG,32,6-2,175,Tennessee,5000000
Tyus Jones,Minnesota Timberwolves,1,PG,20,6-2,195,Duke,1282080
Markel Brown,Brooklyn Nets,22,SG,24,6-3,190,Oklahoma State,845059
Jarrett Jack,Brooklyn Nets,2,PG,32,6-3,200,Georgia Tech,6300000
Donald Sloan,Brooklyn Nets,15,PG,28,6-3,205,Texas A&M,947276
Jose Calderon,New York Knicks,3,PG,34,6-3,200,,7402812
Cory Joseph,Toronto Raptors,6,PG,24,6-3,190,Texas,7000000
